   Hour             Class                            MONDAY                                                      TUESDAY                                                     WEDNESDAY                                                   THURSDAY                                                    

8:00 - 9:00           A1                  Religious Studies (Botsika Irini)                           Modern Greek (Botsika Irini)                                Chemistry (Palmos Nektarios)                                Computers (Mita Irini)                                      
9:00 - 10:00          A1                  Maths (Oikonomou Charalampia)                               Maths (Logotheti Maria)                                     English (Mouse Paraskevi)                                   Project (Makridimitri Despoina)                             
10:00 - 11:00         A1                  Religious Studies (Chavales Nikolaos)                       Chemistry (Maridaki Vasiliki)                               Literature (Mpravou Christina)                              Ancient Greek (Makridimitri Despoina)                       
11:00 - 12:00         A1                  French (Makridimitri Despoina)                              History (Mouse Paraskevi)                                   Arts and Crafts (Chavales Nikolaos)                         Computers (Korliaftis Christos)                             
12:00 - 13:00         A1                  Chemistry (Botsika Irini)                                   Geography (Nazarian Araksi)                                 Literature (Maridaki Vasiliki)                              Computers (Korliaftis Christos)                             
13:00 - 14:00         A1                  Music (Oikonomou Charalampia)                               Computers (Chavales Nikolaos)                               Geography (Logotheti Maria)                                 Literature (Botsika Irini)                                  
14:00 - 15:00         A1                  -------                                                     Computers (Makridimitri Despoina)                           English (Logotheti Maria)                                   Music (Chavales Nikolaos)                                   

8:00 - 9:00           A2                  Ancient Greek (Christofilopoulou Stavroula)                 Music (Oikonomou Charalampia)                               PE (Lekka Nektaria)                                         Physics (Vamvakaris Michalis)                               
9:00 - 10:00          A2                  Geography (Oikonomou Charalampia)                           Ancient Greek (Makridimitri Despoina)                       Arts and Crafts (Mouse Paraskevi)                           Computers (Mita Irini)                                      
10:00 - 11:00         A2                  English (Mita Irini)                                        Computers (Korliaftis Christos)                             Music (Korliaftis Christos)                                 Ancient Greek (Nazarian Araksi)                             
11:00 - 12:00         A2                  Maths (Botsika Irini)                                       Computers (Maridaki Vasiliki)                               Ancient Greek (Lekka Nektaria)                              Ancient Greek (Chavales Nikolaos)                           
12:00 - 13:00         A2                  Geography (Maridaki Vasiliki)                               Project (Maridaki Vasiliki)                                 History (Logotheti Maria)                                   Modern Greek (Nazarian Araksi)                              
13:00 - 14:00         A2                  Chemistry (Botsika Irini)                                   Project (Makridimitri Despoina)                             Computers (Christofilopoulou Stavroula)                     Music (Makridimitri Despoina)                               
14:00 - 15:00         A2                  Religious Studies (Vamvakaris Michalis)                     Literature (Nazarian Araksi)                                Computers (Mpravou Christina)                               Chemistry (Logotheti Maria)                                 

8:00 - 9:00           A3                  French (Botsika Irini)                                      Literature (Lekka Nektaria)                                 Modern Greek (Oikonomou Charalampia)                        Geography (Korliaftis Christos)                             
9:00 - 10:00          A3                  -------                                                     Literature (Nazarian Araksi)                                Music (Nazarian Araksi)                                     Chemistry (Botsika Irini)                                   
10:00 - 11:00         A3                  Chemistry (Chavales Nikolaos)                               Music (Mouse Paraskevi)                                     History (Lekka Nektaria)                                    Music (Palmos Nektarios)                                    
11:00 - 12:00         A3                  Religious Studies (Korliaftis Christos)                     Arts and Crafts (Nazarian Araksi)                           Music (Chavales Nikolaos)                                   English (Oikonomou Charalampia)                             
12:00 - 13:00         A3                  Physics (Vamvakaris Michalis)                               Literature (Palmos Nektarios)                               Computers (Logotheti Maria)                                 French (Vamvakaris Michalis)                                
